Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/27/2024,Saturday,50,Phone Bill,Bills,Cash,Need
01/27/2024,Saturday,10,Gas ,Travel,Debit,Need
01/28/2024,Sunday,15,Gas ,Travel,Debit,Need
01/29/2024,Monday,16.77,Food ,Food,Debit,Need
01/30/2024,Tuesday,9.16,Junk Food,Food,Debit,Want
01/30/2024,Tuesday,25,Food ,Food,Cash,Need
1/31/2024,Wednesday,11.39,Starbucks,Food,Debit,Want
02/01/2024,Thursday,11.75,Food ,Food,Debit,Need
02/03/2024,Saturday,20,Gas ,Travel,Cash,Need
02/05/2024,Monday,23.73,Poke Bowl,Food,Cash,Need
02/05/2024,Monday,800.00,Transfer,Financial goals and Savings,Debit,Savings
02/06/2024,Tuesday,20.51,Pho Soup,Food,Debit,Want
02/06/2024,Tuesday,20.35,Wingstop,Food,Debit,Need
02/06/2024,Tuesday,8.59,Uber,Travel,Debit,Need
02/06/2024,Tuesday,10.85,Food ,Food,Debit,Want
02/06/2024,Tuesday,500.00,Transfer,Financial goals and Savings,Debit,Savings
02/06/2024,Tuesday,36.91,Transfer,Financial goals and Savings,Debit,Savings